
# Surface 0 of 1 surfaces

# Curve title: "'Datos/dataContour.txt'"

# IsoCurve 0, 100 points
# x y z type
 90  12  4.44466e-05 i
 90  13  9.74433e-05 i
 90  14  0.000200668 i
 90  15  0.000359891 i
 90  16  0.000686083 i
 90  17  0.00125827 i
 90  18  0.00219167 i
 90  19  0.00355578 i
 90  20  0.00546146 i
 90  21  0.00782299 i
 90  22  0.010631 i
 90  23  0.0133662 i
 90  24  0.0156572 i
 90  25  0.0167829 i
 90  26  0.0162452 i
 90  27  0.0138012 i
 90  28  0.00952463 i
 90  29  0.00410717 i
 90  30 -0.00158897 i
 90  31 -0.00673881 i
 90  32 -0.010786 i
 90  33 -0.0138255 i
 90  34 -0.0161946 i
 90  35 -0.0184689 i
 90  36 -0.0210948 i
 90  37 -0.0239292 i
 90  38 -0.0266941 i
 90  39 -0.0287825 i
 90  40 -0.0298704 i
 90  41 -0.0301225 i
 90  42 -0.0299784 i
 90  43 -0.0301468 i
 90  44 -0.0308385 i
 90  45 -0.0317632 i
 90  46 -0.0323293 i
 90  47 -0.0319964 i
 90  48 -0.0309326 i
 90  49 -0.0297314 i
 90  50 -0.0292184 i
 90  51 -0.0297314 i
 90  52 -0.0309326 i
 90  53 -0.0319964 i
